|-9x + 115| = 2
|-18x + 111| = 3
|-13x - 141| = 2
|-9x + 60| = 21
|3x + 93| = 33
|-9x + 132| = 30
|13x - 44| = 47
|20x + 113| = 47
|5x - 16| = 34
|-15x + 57| = 42
|1x - 61| = 46
|6x - 80| = 40
|2x - 15| = 9
|-8x + 162| = 2
|-7x + 5| = 47
|-13x + 223| = 37
|-16x - 191| = 49
|-4x - 50| = 18
|16x + 20| = 20
|4x + 3| = 43
|-18x - 215| = 19
|13x - 10| = 49
|-16x + 7| = 41
|-12x - 11| = 35
|-3x + 51| = 33
|4x - 12| = 24
|-4x - 69| = 1
|-3x - 101| = 44
|-10x + 146| = 44
|8x + 0| = 16
|-1x + 36| = 20
|2x - 4| = 12
|6x - 52| = 28
|-16x + 76| = 20
|11x + 223| = 3
|16x + 280| = 40
|17x + 226| = 29
|-3x + 31| = 11
|6x + 78| = 30
|6x + 42| = 12
|1x + 19| = 32
|12x + 108| = 48
|-17x - 98| = 13
|-6x - 66| = 36
|13x + 205| = 23
|12x + 102| = 30
|-17x + 302| = 13
|-12x - 167| = 1
|-6x + 75| = 45
|-14x + 148| = 34
|2x - 20| = 14
|-4x + 9| = 15
|7x + 79| = 2
|19x - 226| = 21
|-4x - 51| = 25
|5x + 88| = 33
|17x + 28| = 45
|15x + 30| = 15
|-19x + 262| = 42
|5x - 123| = 38
|18x - 86| = 32
|-2x - 46| = 20
|3x - 43| = 17
|20x + 298| = 22
|7x + 154| = 14
|-11x - 213| = 4
|-18x + 316| = 26
|17x + 59| = 25
|-16x - 257| = 47
|-6x + 81| = 3
|17x + 185| = 2
|-16x - 52| = 20
|1x - 42| = 48
|17x + 154| = 16
|-12x - 188| = 16
|-12x + 161| = 7
|18x + 290| = 20
|12x + 1| = 25
|-10x + 9| = 19
|12x - 32| = 20
|6x - 48| = 36
|-5x + 31| = 4
|14x - 69| = 15
|14x - 116| = 46
|-17x + 31| = 3
|-19x - 100| = 5
|-4x - 14| = 26
|6x + 100| = 10
|19x + 328| = 24
|-8x + 98| = 14
|-16x - 211| = 19
|-3x - 67| = 34
|-19x + 118| = 42
|-15x - 117| = 27
|4x + 69| = 21
|-3x + 26| = 5
|8x + 55| = 15
|3x + 64| = 22
|13x - 243| = 17
|1x + 8| = 11
|-11x + 69| = 19
|-3x + 78| = 21
|7x + 35| = 49
|-3x - 102| = 45
|11x + 112| = 2
|-9x - 129| = 15
|-20x - 195| = 25
|19x + 153| = 39
|-1x - 6| = 0
|-6x - 2| = 38
|-2x - 33| = 33
|2x - 21| = 3
|-17x - 127| = 25
|-10x + 193| = 33
|16x + 50| = 46
|-11x - 222| = 46
|-18x + 153| = 9
|13x + 44| = 5
|-20x - 118| = 2
|10x - 156| = 34
|-1x + 23| = 33
|-5x + 16| = 26
|-15x + 22| = 37
|2x - 55| = 25
|-20x - 324| = 16
|-18x + 102| = 30
|9x - 83| = 43
|-13x - 278| = 44
|18x + 275| = 23
|4x + 30| = 22
|15x + 149| = 1
|-7x + 71| = 41
|14x + 78| = 20
|-9x + 47| = 2
|7x + 76| = 48
|10x + 106| = 46
|-9x - 87| = 12
|12x - 144| = 24
|18x + 158| = 50
|-16x + 212| = 20
|7x + 18| = 4
|-20x - 256| = 4
|-11x + 149| = 16
|-17x - 122| = 37
|10x + 86| = 24
|-15x - 7| = 7
|-18x + 138| = 42
|-10x - 37| = 43
|-17x - 261| = 23
|11x + 3| = 25
|-12x + 188| = 40
|-7x - 179| = 46
|-10x + 86| = 36
|-1x - 32| = 19
|19x + 71| = 43
|11x + 140| = 19
|-13x - 94| = 29
|-10x - 38| = 22
|16x - 90| = 42
|-13x + 126| = 43
|-8x + 33| = 33
|20x - 55| = 35
|1x + 24| = 24
|-13x + 133| = 49
|8x - 128| = 24
|-13x - 232| = 28
|13x + 111| = 7
|-5x - 23| = 27
|-17x + 21| = 13
|-17x - 91| = 6
|19x + 90| = 33
|15x - 33| = 33
|10x + 128| = 22
|-20x + 155| = 35
|15x - 236| = 49
|5x + 27| = 27
|9x + 215| = 44
|-14x + 299| = 33
|-1x - 17| = 0
|11x - 169| = 7
|10x + 33| = 7
|-1x + 21| = 33
|-6x - 110| = 38
|16x - 75| = 21
|5x + 19| = 41
|14x + 194| = 12
|-20x + 351| = 11
|-18x + 76| = 50
|-15x + 220| = 35
|16x - 63| = 1
|11x + 200| = 35
|-17x + 192| = 12
|18x - 111| = 33
|-1x + 34| = 42
|-7x + 134| = 50
|-8x + 47| = 31
|15x - 17| = 13
|5x - 124| = 29
|-15x + 142| = 23
|-10x + 146| = 16
|-6x + 18| = 42
|-13x - 126| = 43
|-16x - 83| = 35
|10x - 27| = 7
|-11x + 179| = 25
|-8x - 77| = 11
|9x - 165| = 3
|20x + 167| = 13
|5x - 36| = 26
|16x + 221| = 3
|13x + 231| = 23
|9x - 124| = 20
|-1x + 30| = 23
|8x - 107| = 5
|-18x + 339| = 33
|-8x - 107| = 45
|-4x - 3| = 15
|-4x - 21| = 49
|2x - 52| = 40
|-17x - 255| = 17
|6x - 53| = 7
|8x + 188| = 44
|9x + 85| = 49
|-7x - 63| = 35
|-17x + 98| = 13
|6x + 6| = 48
|-9x + 202| = 40
|-1x - 16| = 35
|5x - 63| = 17
|-8x - 16| = 48
|4x + 57| = 3
|-5x - 41| = 11
|-15x - 115| = 25
|20x - 409| = 9
|16x + 160| = 32
|-5x + 68| = 23
|11x - 77| = 33
|-15x + 64| = 19
|-3x + 52| = 43
|20x - 259| = 41
|-2x - 14| = 38
|10x - 18| = 12
|-11x - 29| = 37
|20x - 398| = 38
|2x - 41| = 23
|8x + 138| = 14
|20x - 205| = 5
|7x - 52| = 18
|-1x - 30| = 32
|-1x + 18| = 28
|1x + 44| = 48
|3x + 31| = 19
|-7x + 20| = 6
|-10x - 119| = 41
|-2x - 16| = 4
|-14x + 260| = 50
|-20x + 224| = 4
|-6x + 2| = 4
|18x + 12| = 48
|-11x + 93| = 39
|-9x + 147| = 30
|-10x + 72| = 2
|-9x - 36| = 18
|-5x - 106| = 36
|9x - 173| = 20
|7x - 55| = 41
|-3x - 15| = 0
|-9x + 56| = 2
|5x - 24| = 46
|-4x + 52| = 16
|14x - 126| = 14
|18x - 237| = 15
|11x - 100| = 23
|-11x - 14| = 47
|18x - 34| = 16
|-13x - 21| = 47
|18x - 177| = 21
|14x - 140| = 28
|5x + 61| = 29
|-6x + 2| = 38
|-16x + 160| = 16
|8x + 26| = 22
|-14x - 266| = 14
|2x + 33| = 15
|-20x + 109| = 49
|-15x + 107| = 13
|9x - 121| = 50
|5x + 22| = 3
|-5x - 57| = 27
|-8x - 116| = 28
|-7x - 25| = 11
|-3x + 62| = 11
|1x + 57| = 46
|16x - 273| = 1
|-11x - 113| = 47
|-9x + 105| = 15
|12x - 104| = 44
|9x + 114| = 30
|10x - 74| = 14
|15x + 3| = 48
|15x - 198| = 42
|11x + 81| = 26
|-16x - 134| = 42
|16x + 64| = 48
|9x - 65| = 2
|4x + 105| = 29
|-2x + 20| = 50
|-7x - 61| = 40
|-17x + 315| = 43
|-16x - 7| = 25
|3x - 92| = 50
|-15x + 299| = 1
|20x + 169| = 9
|-9x - 2| = 20
|-5x + 25| = 35
|19x - 273| = 50
|14x - 255| = 11
|8x + 171| = 19
|14x - 72| = 44
|-5x + 104| = 24
|3x - 71| = 32
|15x - 276| = 21
|20x - 221| = 1
|-6x + 114| = 48
|10x + 89| = 9
|-17x - 170| = 17
|2x - 25| = 21
|18x + 392| = 32
|11x + 117| = 26
|10x - 32| = 38
|-2x + 18| = 42
|-6x + 10| = 16
|5x - 49| = 9
|-20x - 190| = 10
|-4x - 32| = 24
|-3x - 52| = 2
|-10x + 153| = 23
|-9x + 12| = 48
|16x + 269| = 35
|-4x - 62| = 18
|-14x - 136| = 4
|9x + 169| = 7
|-15x - 29| = 46
|-5x + 47| = 28
|-16x - 149| = 43
|17x + 10| = 44
|-14x + 131| = 9
|-20x - 203| = 37
|-17x - 23| = 28
|-7x - 68| = 33
|-3x - 2| = 35
|2x + 47| = 31
|16x + 18| = 2
|-8x + 38| = 26
|4x + 14| = 30
|-18x + 16| = 34
|-2x + 9| = 29
|4x - 8| = 48
|-3x + 5| = 40
|19x - 65| = 46
|-11x + 2| = 9
|-19x - 145| = 26
|-14x - 58| = 26
|18x + 252| = 18
|19x + 387| = 45
|-3x + 43| = 49
|-12x - 94| = 2
|10x + 28| = 2
|-7x - 93| = 2
|16x - 334| = 46
|-18x - 353| = 47
|19x - 260| = 32
|-3x - 3| = 30
|1x + 19| = 36
|-16x - 314| = 26
|6x + 22| = 10
|-15x + 200| = 10
|-18x - 33| = 21
|-6x + 67| = 23
|17x + 147| = 11
|18x - 340| = 2
|-18x - 72| = 36
|10x + 157| = 43
|4x - 6| = 42
|-4x + 39| = 17
|20x - 152| = 12
|19x - 177| = 13
|8x - 6| = 10
|3x - 56| = 17
|-7x + 25| = 39
|3x - 5| = 14
|-19x + 95| = 19
|9x + 197| = 17
|10x - 73| = 23
|-3x + 64| = 31
|-6x - 47| = 37
|6x + 31| = 25
|9x + 14| = 50
|18x + 270| = 0
|-18x - 40| = 4
|9x - 56| = 2
|11x - 28| = 17
|-13x + 131| = 25
|13x - 24| = 28
|-10x - 98| = 12
|-14x + 177| = 33
|-19x + 227| = 39
|-1x - 39| = 37
|-7x + 123| = 39
|-8x + 106| = 34
|18x - 322| = 16
|-7x + 160| = 27
|-15x + 33| = 42
|3x + 46| = 22
|-3x - 30| = 0
|11x - 155| = 43
|-13x - 41| = 50
|19x - 32| = 25
|-18x + 38| = 34
|-8x + 5| = 21
|5x + 18| = 18
|6x + 6| = 6
|-3x - 19| = 10
|3x - 2| = 50
|5x + 28| = 28
|-17x - 265| = 7
|17x - 293| = 47
|1x + 35| = 20
|1x - 42| = 41
|-16x + 212| = 28
|17x - 310| = 21
|-17x + 165| = 29
|12x - 133| = 47
|17x + 41| = 24
|6x + 15| = 21
|-6x - 82| = 46
|-16x + 288| = 0
|-11x + 113| = 36
|19x - 107| = 26
|-4x + 79| = 15
|5x + 20| = 0
|15x + 64| = 11
|-8x + 125| = 19
|-9x - 114| = 48
|14x + 49| = 35
|7x - 6| = 41
|-11x - 243| = 34
|-19x + 235| = 45
|17x - 281| = 42
|-14x - 91| = 7
|19x + 367| = 13
|14x + 149| = 19
|-18x - 170| = 44
|4x - 56| = 20
|1x + 13| = 22
|-16x - 198| = 10
|8x - 65| = 23
|16x + 233| = 41
|-16x - 248| = 8
|9x - 8| = 46
|14x - 133| = 21
|20x - 406| = 6
|10x - 150| = 20
|-1x + 12| = 0
|15x - 21| = 9
|19x + 160| = 30
|-18x - 260| = 10
|2x + 14| = 10
|-3x - 45| = 6
|8x + 45| = 11
|5x + 55| = 15
|20x + 293| = 13
|18x + 95| = 13
|-6x - 65| = 25
|20x - 373| = 7
|-7x - 85| = 36
|14x - 221| = 11
|-2x + 15| = 1
|15x - 79| = 19
|-11x - 154| = 0
|-9x - 8| = 46
|9x - 12| = 39
|11x + 96| = 19
|-5x - 71| = 31
|6x + 9| = 9
|-17x - 309| = 3
|12x - 152| = 8
|-15x - 303| = 48
|12x + 124| = 44
|-14x - 59| = 31
|9x - 83| = 25
|-8x + 159| = 23
|-13x - 180| = 24
|10x - 220| = 40
|16x - 45| = 3
|13x - 141| = 24
|16x - 207| = 47
|12x + 268| = 40
|-10x + 86| = 34
|19x - 340| = 17
|4x + 44| = 16
|13x + 256| = 9
|4x + 32| = 28
|18x - 275| = 49
|12x - 81| = 15
|-17x - 268| = 30
|4x - 60| = 8
|-18x + 4| = 32
|-12x - 98| = 10
|-15x + 250| = 35
|3x + 14| = 28
|-4x - 22| = 2
|-3x - 75| = 15
|-6x + 80| = 44
|10x - 133| = 47
|5x + 23| = 47
|-20x - 152| = 32
|-12x - 70| = 46
|8x + 23| = 31
|-3x + 39| = 12
|5x - 71| = 14
|-20x - 353| = 13
|-18x + 44| = 46
|13x + 142| = 12
|-3x + 75| = 24
|19x - 344| = 17
|-5x + 3| = 38
|1x - 8| = 3
|-15x - 220| = 50
|2x + 37| = 3
|-8x - 36| = 36
|-10x + 129| = 1
|-8x - 66| = 26
|2x - 37| = 15
|14x - 113| = 41
|15x + 97| = 22
|15x + 71| = 11
|6x - 6| = 48
|6x - 84| = 18
|8x - 106| = 2
|-8x - 81| = 1
|-12x - 186| = 18
|-1x + 30| = 31
|-20x + 10| = 10
|17x + 107| = 29
|19x + 345| = 41
|-11x - 161| = 15
|7x - 69| = 29
|15x + 287| = 47
|-13x - 189| = 46
|-5x + 30| = 45
|-11x + 20| = 24
|-10x + 61| = 41
|7x - 155| = 50
|-4x - 76| = 48
|-18x + 240| = 30
|13x - 164| = 5
|11x - 88| = 44
|1x - 41| = 40
|13x + 160| = 30
|-14x - 2| = 12
|17x + 87| = 49
|-6x - 137| = 47
|-11x - 3| = 25
|-16x - 204| = 20
|10x - 27| = 17
|-13x - 9| = 30
|8x + 109| = 11
|-1x - 23| = 19
|-11x - 2| = 2
|6x + 138| = 42
|13x + 71| = 6
|1x - 27| = 16
|10x - 90| = 0
|-20x + 136| = 36
|-5x - 93| = 33
|16x - 241| = 33
|11x - 199| = 12
|13x - 32| = 19
|16x + 40| = 8
|-4x - 16| = 8
|2x - 29| = 23
|-10x - 161| = 41
|-4x + 33| = 11
|4x + 56| = 24
|-13x - 154| = 28
|12x - 78| = 6
|6x + 14| = 2
|10x + 66| = 46
|-5x - 104| = 39
|-7x + 28| = 0
|-2x + 64| = 36
|6x + 55| = 23
|3x + 59| = 41
|4x - 70| = 46
|-17x + 279| = 10
|18x - 169| = 25
|9x + 85| = 31
|-9x + 101| = 11
|4x - 67| = 1
|-2x - 42| = 4
|-13x + 187| = 47
|14x + 312| = 32
|-20x - 241| = 19
|10x - 1| = 21
|-2x - 57| = 29
|16x + 56| = 8
|-17x - 312| = 6
|8x - 112| = 24
|-4x + 62| = 10
|12x - 19| = 29
|4x - 63| = 11
|8x + 126| = 2
|15x - 100| = 35
|4x - 66| = 6
|-9x + 81| = 45
|4x + 58| = 42
|5x + 107| = 17
|-18x - 217| = 1
|-9x - 60| = 6
|15x + 181| = 1
|-13x - 91| = 13
|-6x - 30| = 42
|12x + 218| = 10
|-13x - 197| = 24
|9x - 169| = 43
|-13x - 50| = 28
|-11x + 139| = 29
|-3x - 17| = 20
|11x + 72| = 6
|-1x - 53| = 43
|-11x - 43| = 32
|-3x - 64| = 46
|-6x - 52| = 14
|1x + 44| = 38
|7x - 92| = 43
|14x - 59| = 45
|2x + 30| = 24
|20x + 37| = 17
|-13x + 168| = 14
|-13x + 221| = 26
|3x - 27| = 33
|-20x + 14| = 34
|11x + 55| = 0
|19x - 313| = 9
|16x + 90| = 42
|9x - 96| = 3
|14x - 234| = 18
|14x - 75| = 37
|-6x - 145| = 37
|-6x - 73| = 37
|8x + 102| = 46
|8x + 42| = 38
|8x + 64| = 32
|20x - 235| = 25
|-18x - 230| = 14
|8x - 107| = 21
|-18x - 265| = 41
|6x + 123| = 45
|3x + 30| = 21
|20x + 69| = 31
|12x + 100| = 8
|13x + 196| = 25
|9x + 65| = 43
|11x - 133| = 32
|5x - 37| = 12
|13x + 222| = 38
|-6x - 6| = 30
|-5x + 28| = 28
|14x - 172| = 18
|13x + 242| = 47
|20x + 362| = 18
|-17x - 209| = 22
|-12x + 4| = 20
|-13x + 208| = 13
|5x - 3| = 13
|15x + 91| = 29
|-9x - 95| = 23
|-11x + 163| = 46
|5x + 33| = 18
|-11x + 241| = 21
|-7x + 9| = 16
|-1x + 41| = 41
|-16x - 146| = 18
|16x - 246| = 10
|2x + 29| = 1
|-20x + 283| = 37
|3x + 97| = 37
|2x + 34| = 30
|-11x - 82| = 38
|-13x - 100| = 35
|-14x - 293| = 41
|16x + 38| = 38
|9x + 159| = 24
|16x + 75| = 43
|13x + 239| = 8
|-7x + 131| = 2
|-19x - 300| = 23
|-5x + 59| = 34
|10x + 48| = 22
|-13x - 123| = 33
|15x - 198| = 3
|-4x + 45| = 49
|7x + 52| = 46
|9x - 91| = 1
|-1x - 43| = 37
|-12x - 169| = 35
|-15x - 32| = 17
|-19x + 271| = 5
|-9x + 157| = 31
|-2x - 10| = 22
|3x + 23| = 25
|-19x - 337| = 24
|4x - 11| = 7
|-20x + 104| = 36
|4x - 25| = 13
|6x - 26| = 4
|7x - 39| = 31
|-3x + 51| = 24
|9x - 106| = 47
|10x - 29| = 19
|10x - 151| = 31
|-7x + 45| = 17
|9x + 135| = 36
|-18x + 364| = 22
|-18x + 105| = 15
|18x - 248| = 40
|16x - 209| = 1
|12x + 206| = 22
|-7x - 163| = 44
|6x + 75| = 27
|7x - 37| = 12
|6x - 70| = 50
|-20x - 379| = 39
|-12x - 169| = 35
|20x - 183| = 3
|7x - 67| = 3
|-3x - 77| = 47
|-5x - 114| = 34
|-14x + 244| = 48
|20x + 231| = 31
|7x - 77| = 0
|5x - 57| = 43
|-19x + 48| = 28
|8x - 183| = 47
|6x - 84| = 36
|13x - 148| = 21
|-12x - 183| = 33
|8x + 115| = 45
|-12x + 230| = 38
|-8x + 106| = 2
|14x + 133| = 7
|-14x + 156| = 44
|3x - 60| = 45
|3x - 46| = 31
|-17x - 60| = 43
|-2x + 48| = 22
|18x - 214| = 38
|-4x - 39| = 47
|7x + 81| = 24
|18x + 136| = 28
|11x - 138| = 28
|20x + 320| = 0
|20x + 267| = 13
|-15x + 207| = 33
|-4x + 38| = 38
|2x + 6| = 30
|18x + 286| = 20
|-15x + 76| = 1
|14x + 219| = 19
|-1x - 63| = 44
|16x + 96| = 0
|-15x - 169| = 34
|-19x + 9| = 10
|-19x + 85| = 47
|15x - 101| = 4
|-2x - 22| = 44
|20x - 220| = 0
|-6x + 52| = 14
|15x + 221| = 41
|-20x - 204| = 24
|-13x - 96| = 21
|6x + 133| = 13
|20x - 24| = 44
|-8x - 125| = 11
|-11x + 117| = 48
|-16x - 75| = 27
|-7x + 91| = 0
|-15x + 243| = 33
|6x + 57| = 21
|-11x + 177| = 1
|-9x - 110| = 16
|-17x - 276| = 21
|7x + 166| = 33
|-16x + 126| = 30
|12x + 109| = 23
|19x - 356| = 5
|-17x + 182| = 5
|6x - 47| = 49
|17x + 238| = 34
|-8x + 177| = 49
|7x - 138| = 19
|11x - 155| = 12
|-14x + 124| = 2
|13x + 219| = 15
|8x - 41| = 25
|13x + 199| = 43
|15x + 265| = 10
|4x - 10| = 18
|-12x - 261| = 21
|5x - 83| = 3
|-7x - 145| = 26
|4x - 33| = 39
|13x - 126| = 9
|14x + 145| = 37
|1x + 28| = 20
|-6x - 148| = 40
|7x + 31| = 18
|19x + 38| = 0
|-13x + 222| = 14
|16x + 158| = 46
|5x + 4| = 46
|-8x + 98| = 26
|-18x - 246| = 24
|16x + 154| = 26
|19x - 271| = 14
|7x + 54| = 23
|20x + 321| = 39
|-20x - 286| = 26
|-11x + 233| = 24
|-11x + 193| = 16
|-9x + 62| = 1
|-2x - 29| = 37
|15x + 243| = 3
|-18x + 127| = 17
|16x - 189| = 35
|1x - 3| = 23
|-14x + 184| = 30
|13x + 154| = 50
|-8x + 134| = 46
|-20x - 91| = 29
|16x + 221| = 35
|13x - 119| = 37
|1x + 46| = 50
|9x + 133| = 34
|-19x - 113| = 1
|20x - 28| = 8
|-15x - 98| = 37
|11x - 175| = 1
|15x - 173| = 23
|8x - 147| = 27
|3x + 52| = 25
|-20x + 83| = 23
|-1x + 37| = 33
|-16x - 253| = 29
|13x + 110| = 45
|19x + 288| = 22
|19x - 237| = 29
|16x - 36| = 28
|-15x + 91| = 29
|7x + 37| = 12
|-10x + 11| = 41
|-7x - 23| = 12
|16x + 197| = 43
|7x - 47| = 47
|3x + 19| = 10
|-3x + 12| = 9
|10x + 127| = 23
|11x - 161| = 40
|7x + 130| = 25
|-19x - 267| = 18
|-10x - 61| = 39
|-1x + 32| = 28
|-16x + 128| = 32
|-3x + 2| = 13
|-5x - 109| = 34
|10x - 182| = 12
|-1x + 22| = 39
|12x + 144| = 12
|10x + 13| = 47
|19x + 243| = 34
|-9x - 210| = 39
|-15x + 196| = 31
|2x + 34| = 4
|10x + 193| = 7
|6x - 10| = 40
|16x - 291| = 13
|-15x + 164| = 16
|-3x + 25| = 13
|10x + 77| = 37
|8x + 66| = 18
|-8x + 88| = 32
|-8x + 9| = 1
|-2x + 42| = 10
|-17x + 273| = 1
|14x - 153| = 15
|-4x - 22| = 6
|-5x + 34| = 24
|7x - 54| = 23
|-16x + 298| = 26
|9x + 25| = 43
|-16x + 352| = 32
|1x - 60| = 40
|4x + 55| = 31
|9x - 155| = 47
|7x + 16| = 5
|17x + 356| = 16
|4x + 39| = 7
|-15x + 87| = 18
|20x + 211| = 49
|-9x - 119| = 25
|10x - 216| = 36
|-11x - 2| = 31
|-11x - 154| = 22
|15x - 62| = 17
|6x - 41| = 5
|3x - 98| = 47
|15x + 1| = 31
|20x + 200| = 0
|-18x + 304| = 16
|7x - 105| = 14
|-9x - 113| = 22
|12x + 61| = 47
|-18x - 374| = 32
|7x + 83| = 29
|17x + 237| = 1
|2x + 16| = 38
|16x - 281| = 25
|-4x + 32| = 0
|3x - 4| = 40
|15x + 254| = 31
|20x - 390| = 30
|12x + 40| = 4
|-15x - 328| = 28
|13x - 40| = 27
|-4x - 85| = 37
|-14x + 314| = 48
|9x - 81| = 0
|-4x - 67| = 5
|-6x - 16| = 28
|17x - 128| = 42
|19x + 14| = 33
|11x + 56| = 23
|-8x - 49| = 23
|-8x + 114| = 22
|-19x + 29| = 47
|1x + 36| = 20
|5x + 60| = 40
|-15x - 89| = 46
|19x - 24| = 43
|15x + 259| = 11
|7x + 95| = 32
|19x - 403| = 42
|5x + 13| = 37
|-5x + 9| = 31
|18x - 105| = 39
|17x - 289| = 17
|-9x - 103| = 4
|-19x + 120| = 32
|3x + 34| = 1
|20x + 155| = 15
|-15x + 85| = 35
|-9x - 63| = 0
|-14x - 49| = 7
|-16x + 109| = 13
|-1x + 11| = 18
|-5x + 85| = 20
|-20x - 14| = 6
|-13x - 269| = 22
|12x - 39| = 27
|6x + 26| = 20
|10x + 100| = 40
|-10x + 128| = 18
|19x - 74| = 36
|8x + 141| = 21
|20x - 55| = 45
|11x - 28| = 50
|-9x + 1| = 17
|-8x - 149| = 5
|-7x + 93| = 37
|7x - 43| = 43
|-18x + 314| = 46
|9x + 146| = 29
|1x - 18| = 23
|11x + 21| = 43
|-9x - 52| = 34
|-6x - 66| = 18
|-5x - 87| = 7
|19x - 316| = 12
|-18x + 34| = 38
|-3x - 91| = 34
|9x + 5| = 31
|15x + 34| = 4
|-4x - 2| = 18
|3x + 99| = 45
|-4x - 54| = 26
|-13x + 163| = 45
|14x - 96| = 30
|-8x - 111| = 23
|-16x - 253| = 35
|8x + 96| = 24
|12x - 115| = 29
|1x + 39| = 37
|-3x + 18| = 27
|-12x + 74| = 34
|-19x - 219| = 47
|8x - 23| = 31
|11x - 174| = 46
|1x - 47| = 36
|15x + 87| = 27
|-2x - 5| = 7
|-19x + 108| = 44
|6x + 1| = 37
|-16x + 261| = 11
|-19x + 216| = 26
|-3x + 73| = 22
|-7x - 44| = 2
|-5x + 15| = 35
|-12x + 181| = 11
|7x + 70| = 28
|-16x + 43| = 11
|-16x - 271| = 17
|18x + 205| = 11
|-19x - 65| = 8
|-14x - 227| = 11
|19x + 417| = 37
|10x - 23| = 27
|3x - 89| = 38
|-13x + 223| = 24
|-11x + 17| = 17
|-9x - 81| = 36
|-16x - 8| = 8
|20x - 155| = 35
|1x - 61| = 49
|3x + 0| = 42
|2x - 50| = 46
|-20x - 360| = 0
|20x - 87| = 13
|17x + 136| = 34
|20x + 332| = 8
|-4x - 37| = 7
|15x + 17| = 32
|2x + 23| = 37
|-12x - 63| = 33
|19x - 141| = 46
|-2x - 4| = 8
|-8x - 48| = 8
|-1x - 30| = 23
|-4x + 65| = 11
|-4x - 57| = 7
|-18x + 204| = 42
|-17x - 85| = 0
|2x - 27| = 23
|4x + 68| = 32
|13x + 266| = 6
|16x + 225| = 15
|11x + 153| = 21
|2x - 34| = 0
|17x + 111| = 9
|9x + 40| = 4
|-4x - 54| = 50
|-12x + 171| = 27
|8x - 117| = 13
|-2x - 40| = 44
|10x + 51| = 41
|15x + 276| = 24
|6x - 63| = 27
|-8x - 43| = 19
|17x + 84| = 35
|-12x + 216| = 36
|-13x + 142| = 1
|13x + 223| = 11
|-1x + 19| = 2
|-7x - 87| = 11
|20x + 339| = 41
|-13x - 240| = 19
|-19x - 277| = 27
|8x + 122| = 10
|14x - 240| = 44
|6x - 55| = 43
|-4x - 53| = 27
|-1x + 19| = 39
|-1x - 55| = 49
|-14x - 317| = 37
|2x + 48| = 18
|-17x - 340| = 17
|8x - 174| = 46
|7x - 39| = 32
|-3x - 23| = 37
|7x + 85| = 1
|-13x - 19| = 6
|12x + 130| = 2
|-6x - 52| = 32
|-2x + 30| = 50
|-4x - 30| = 50
|-16x - 263| = 7
|-6x - 68| = 2
|18x + 99| = 27
|15x + 202| = 38
|17x + 122| = 3
|16x + 198| = 42
|3x - 26| = 34
|6x - 94| = 26
|-1x + 7| = 1
|8x - 130| = 30
|-20x - 274| = 26
|3x - 68| = 17
|19x + 261| = 24
|1x - 37| = 24
|-4x + 104| = 48
|14x - 118| = 48
|7x + 34| = 15
|-6x - 14| = 32
|11x - 165| = 0
|-17x + 166| = 38
|-18x + 315| = 45
|4x + 69| = 13
|3x - 13| = 32
|-4x + 65| = 9
|-5x - 13| = 23
|8x + 66| = 26
|1x + 2| = 3
|9x - 58| = 23
|-15x - 140| = 40
|5x + 20| = 30
|-2x + 18| = 36
|19x + 182| = 49
|1x + 2| = 12
|3x - 40| = 19
|4x + 82| = 46
|16x - 6| = 22
|19x - 80| = 34
|15x - 68| = 7
|-14x + 22| = 22
|-5x - 39| = 46
|-10x - 54| = 16
|-3x - 40| = 8
|-11x + 217| = 8
|-1x + 3| = 9
|16x - 113| = 1
|7x - 161| = 28
|-16x - 260| = 44
|-6x + 73| = 5
|13x + 66| = 25
|6x + 91| = 43
|4x + 33| = 9
|-12x - 225| = 15
|-20x + 303| = 3
|-19x - 150| = 21
|-12x - 61| = 23
|4x + 45| = 11
|2x - 51| = 21
|-17x + 139| = 31
|8x - 148| = 4
|-12x + 276| = 36
|13x - 236| = 41
|12x + 38| = 22
|-6x + 74| = 46
|9x - 22| = 5
|-5x + 45| = 45
|8x + 62| = 26
|-18x + 301| = 41
|5x + 76| = 24
|-9x + 35| = 1
|-6x + 132| = 30
|-6x + 48| = 6
|9x + 37| = 17
|-16x + 294| = 6
|-9x - 226| = 46
|13x + 235| = 25
|-20x + 343| = 23
|-20x + 85| = 5
|16x + 234| = 42
|2x + 16| = 8
|-8x - 7| = 49
|17x + 18| = 1
|-13x - 191| = 17
|-19x + 213| = 42
|-12x - 26| = 26
|16x + 74| = 38
|-15x - 76| = 14
|-2x + 50| = 44
|-16x - 167| = 23
|-14x - 109| = 17
|-8x + 3| = 21
|2x - 1| = 11
|-19x - 288| = 3
|14x + 8| = 48
|18x + 177| = 15
|3x - 16| = 1
|-6x + 102| = 18
|10x + 129| = 49
|-10x + 142| = 8
|9x + 195| = 24
|-1x + 7| = 17
|-17x - 71| = 31
|-2x - 61| = 49
|-19x + 300| = 15
|-5x - 120| = 40
|20x + 112| = 8
|6x - 104| = 38
|18x - 89| = 19
|16x - 98| = 18
|14x - 88| = 46
|6x - 123| = 27
|17x + 125| = 23
|-10x - 59| = 9
|-11x + 86| = 42
|-18x + 246| = 48
|-16x - 67| = 3
|14x + 131| = 5
|19x + 387| = 7
|19x + 213| = 23
|-8x + 27| = 19
|16x + 142| = 18
|15x - 233| = 7
|6x - 145| = 25
|-18x + 314| = 28
|9x - 85| = 22
